Date,Symbol,Open,High,Low,Close,Volume
2024-08-01,AAPL,190.50,192.30,189.80,191.75,45231000
2024-08-02,AAPL,191.90,193.45,190.25,192.10,42891000
2024-08-03,AAPL,192.20,194.80,191.55,194.25,51203000
2024-08-04,AAPL,194.00,195.20,192.30,193.85,38756000
2024-08-05,AAPL,193.50,194.75,191.80,192.45,44672000
2024-08-06,AAPL,192.80,195.60,192.45,195.25,47938000
2024-08-07,AAPL,195.50,197.80,194.90,197.35,52847000
2024-08-08,AAPL,197.20,198.45,195.75,196.80,46291000
2024-08-09,AAPL,196.50,197.90,194.80,195.60,41859000
2024-08-10,AAPL,195.80,198.20,195.40,197.85,49562000
2024-08-11,AAPL,198.00,200.15,197.25,199.90,55743000
2024-08-12,AAPL,199.75,201.40,198.60,200.85,48392000
2024-08-13,AAPL,200.90,202.75,199.85,202.30,53681000
2024-08-14,AAPL,202.50,204.20,201.80,203.45,47256000
2024-08-15,AAPL,203.20,205.80,202.90,205.15,51847000
2024-08-01,GOOGL,160.20,162.50,159.80,161.90,28453000
2024-08-02,GOOGL,162.10,163.75,160.95,162.85,26781000
2024-08-03,GOOGL,162.90,165.40,162.20,164.75,31294000
2024-08-04,GOOGL,164.50,166.80,163.85,165.90,29102000
2024-08-05,GOOGL,165.70,167.20,164.50,166.45,27638000
2024-08-06,GOOGL,166.80,169.30,166.20,168.75,33572000
2024-08-07,GOOGL,168.90,171.45,168.30,170.90,35847000
2024-08-08,GOOGL,170.75,172.60,169.85,171.25,32194000
2024-08-09,GOOGL,171.50,173.20,170.40,172.80,30685000
2024-08-10,GOOGL,172.60,174.95,172.10,174.30,34729000
2024-08-11,GOOGL,174.50,176.80,173.95,176.20,37591000
2024-08-12,GOOGL,176.40,178.20,175.80,177.65,33847000
2024-08-13,GOOGL,177.80,180.15,177.25,179.45,36293000
2024-08-14,GOOGL,179.60,181.90,178.95,180.75,34562000
2024-08-15,GOOGL,180.90,183.40,180.30,182.85,38174000
2024-08-01,TSLA,235.80,240.20,234.50,238.90,78392000
2024-08-02,TSLA,239.20,242.75,237.80,241.50,82451000
2024-08-03,TSLA,241.80,245.60,240.90,244.20,89637000
2024-08-04,TSLA,244.50,247.30,242.80,245.75,75284000
2024-08-05,TSLA,245.90,248.40,243.20,246.85,71956000
2024-08-06,TSLA,247.20,251.80,246.50,250.30,86742000
2024-08-07,TSLA,250.60,254.90,249.80,253.45,94587000
2024-08-08,TSLA,253.70,256.20,251.40,254.90,81639000
2024-08-09,TSLA,254.50,257.80,252.90,255.60,78294000
2024-08-10,TSLA,255.90,259.40,254.70,258.75,85731000
2024-08-11,TSLA,259.00,262.80,257.90,261.50,92846000
2024-08-12,TSLA,261.80,264.50,260.20,263.25,87359000
2024-08-13,TSLA,263.50,267.90,262.80,266.40,91582000
2024-08-14,TSLA,266.70,270.20,265.50,268.85,88473000
2024-08-15,TSLA,269.10,273.60,268.40,272.30,95627000
