description,latitude,longitude,altitude
"Abbeville, Louisiana",29.975395,-92.127157,6.0
"Abita Springs, Louisiana",30.473491,-90.020328,12.0
"Addis, Louisiana",30.369535,-91.263648,4.0
"Albany, Louisiana",30.499193,-90.583817,17.0
"Alexandria, Louisiana",31.293449,-92.470189,32.0
"Ama, Louisiana",29.943492,-90.295565,3.0
"Amelia, Louisiana",29.663226,-91.110906,2.0
"Amite City, Louisiana",30.732164,-90.515286,46.0
"Anacoco, Louisiana",31.256902,-93.346545,113.0
"Angie, Louisiana",30.961335,-89.821139,60.0
"Arabi, Louisiana",29.953037,-89.996264,1.0
"Arcadia, Louisiana",32.550848,-92.921373,128.0
"Arnaudville, Louisiana",30.401718,-91.932391,10.0
"Ashland, Louisiana",32.120379,-93.11254,59.0
"Athens, Louisiana",32.657978,-93.027702,115.0
"Atlanta, Louisiana",31.806402,-92.738334,71.0
"Avondale, Louisiana",29.901029,-90.19702,2.0
"Baker, Louisiana",30.583197,-91.158179,27.0
"Baldwin, Louisiana",29.841277,-91.554886,3.0
"Ball, Louisiana",31.418749,-92.408398,66.0
"Banks Springs, Louisiana",32.076423,-92.085063,70.0
"Barataria, Louisiana",29.714032,-90.121496,-1.0
"Basile, Louisiana",30.485511,-92.60102,17.0
"Baskin, Louisiana",32.259068,-91.74733,23.0
"Bastrop, Louisiana",32.774858,-91.907756,42.0
"Baton Rouge, Louisiana",30.440443,-91.133166,14.0
"Bawcomville, Louisiana",32.468722,-92.173702,27.0
"Bayou Blue, Louisiana",29.632482,-90.668963,11.0
"Bayou Cane, Louisiana",29.624353,-90.751036,3.0
"Bayou Corne, Louisiana",30.015944,-91.152951,2.0
"Bayou Country Club, Louisiana",29.779551,-90.789251,5.0
"Bayou Gauche, Louisiana",29.80686,-90.422153,1.0
"Bayou Goula, Louisiana",30.216979,-91.180871,4.0
"Bayou L'Ourse, Louisiana",29.717411,-91.06061,2.0
"Bayou Vista, Louisiana",29.690571,-91.26698,1.0
"Belcher, Louisiana",32.75217,-93.837213,56.0
"Belle Chasse, Louisiana",29.858697,-90.00329,-1.0
"Belle Rose, Louisiana",30.042205,-91.049721,8.0
"Belmont, Louisiana",31.718182,-93.508178,121.0
"Benton, Louisiana",32.68958,-93.740132,65.0
"Bernice, Louisiana",32.827661,-92.658465,64.0
"Berwick, Louisiana",29.700548,-91.235184,11.0
"Bienville, Louisiana",32.363209,-92.974847,68.0
"Blanchard, Louisiana",32.602696,-93.883118,100.0
"Bogalusa, Louisiana",30.775378,-89.86166,32.0
"Bonita, Louisiana",32.92051,-91.675066,41.0
"Boothville, Louisiana",29.332516,-89.405729,0.0
"Bordelonville, Louisiana",31.101164,-91.90047,15.0
"Bossier City, Louisiana",32.523674,-93.655426,46.0
"Bourg, Louisiana",29.563648,-90.614968,1.0
"Boutte, Louisiana",29.887384,-90.38876,1.0
"Boyce, Louisiana",31.389895,-92.670374,28.0
"Branch, Louisiana",30.338617,-92.285691,8.0
"Breaux Bridge, Louisiana",30.283099,-91.905919,8.0
"Bridge City, Louisiana",29.940771,-90.156566,13.0
"Broussard, Louisiana",30.137444,-91.95583,10.0
"Brownfields, Louisiana",30.543351,-91.124057,30.0
"Brownsville, Louisiana",32.488265,-92.161844,27.0
"Brusly, Louisiana",30.39425,-91.251608,8.0
"Bryceland, Louisiana",32.445027,-92.990067,84.0
"Bunkie, Louisiana",30.953661,-92.188111,23.0
"Buras, Louisiana",29.353663,-89.523973,0.0
"Cade, Louisiana",30.092568,-91.899633,10.0
"Calhoun, Louisiana",32.515309,-92.353926,50.0
"Calvin, Louisiana",31.961692,-92.775806,52.0
"Cameron, Louisiana",29.795189,-93.291532,0.0
"Campti, Louisiana",31.897965,-93.116367,53.0
"Cankton, Louisiana",30.345533,-92.113084,16.0
"Carencro, Louisiana",30.312561,-92.038706,15.0
"Carlyss, Louisiana",30.176743,-93.369589,3.0
"Castor, Louisiana",32.254878,-93.165963,55.0
"Catahoula, Louisiana",30.211999,-91.719555,3.0
"Cecilia, Louisiana",30.3364,-91.847921,8.0
"Center Point, Louisiana",31.252379,-92.209957,39.0
"Centerville, Louisiana",29.756277,-91.425631,7.0
"Central, Louisiana",30.559305,-91.035507,20.0
"Chackbay, Louisiana",29.858534,-90.807044,3.0
"Chalmette, Louisiana",29.944015,-89.966005,2.0
"Charenton, Louisiana",29.867069,-91.53998,16.0
"Chataignier, Louisiana",30.56957,-92.316831,18.0
"Chatham, Louisiana",32.309171,-92.451437,56.0
"Chauvin, Louisiana",29.445323,-90.593603,2.0
"Cheneyville, Louisiana",31.010995,-92.290112,24.0
"Choctaw, Louisiana",29.845682,-90.72384,17.0
"Choudrant, Louisiana",32.533076,-92.526216,75.0
"Church Point, Louisiana",30.403706,-92.214483,17.0
"Claiborne, Louisiana",32.541238,-92.196154,55.0
"Clarence, Louisiana",31.820258,-93.029088,36.0
"Clarks, Louisiana",32.028817,-92.140839,56.0
"Clayton, Louisiana",31.722159,-91.534567,25.0
"Clinton, Louisiana",30.861679,-91.015454,79.0
"Colfax, Louisiana",31.519572,-92.69974,28.0
"Collinston, Louisiana",32.689283,-91.871813,28.0
"Columbia, Louisiana",32.102102,-92.076434,40.0
"Convent, Louisiana",30.015211,-90.820234,3.0
"Converse, Louisiana",31.779538,-93.70013,90.0
"Cotton Valley, Louisiana",32.8134,-93.423119,71.0
"Cottonport, Louisiana",30.989174,-92.050952,18.0
"Coushatta, Louisiana",32.025834,-93.340597,47.0
"Covington, Louisiana",30.480184,-90.111826,11.0
"Creola, Louisiana",31.426946,-92.480966,54.0
"Crescent, Louisiana",30.243178,-91.288157,2.0
"Crowley, Louisiana",30.217897,-92.37484,8.0
"Cullen, Louisiana",32.967708,-93.446542,78.0
"Cut Off, Louisiana",29.516283,-90.329714,1.0
"Darrow, Louisiana",30.121219,-90.984343,6.0
"DeQuincy, Louisiana",30.44896,-93.44566,27.0
"DeRidder, Louisiana",30.845003,-93.2952,61.0
"Delacroix, Louisiana",29.762366,-89.789511,0.0
"Delcambre, Louisiana",29.951114,-91.99171,3.0
"Delhi, Louisiana",32.452843,-91.489976,30.0
"Delta, Louisiana",32.322201,-90.958549,26.0
"Denham Springs, Louisiana",30.474329,-90.959027,17.0
"Des Allemands, Louisiana",29.815368,-90.470513,-1.0
"Destrehan, Louisiana",29.972092,-90.354156,6.0
"Deville, Louisiana",31.344944,-92.141801,27.0
"Dixie Inn, Louisiana",32.596841,-93.332232,47.0
"Dodson, Louisiana",32.079118,-92.658624,73.0
"Donaldsonville, Louisiana",30.095069,-90.992544,8.0
"Dorseyville, Louisiana",30.177361,-91.161391,7.0
"Downsville, Louisiana",32.626437,-92.41292,78.0
"Doyline, Louisiana",32.520731,-93.415702,71.0
"Dry Prong, Louisiana",31.581305,-92.531418,69.0
"Dubach, Louisiana",32.703291,-92.66153,57.0
"Dubberly, Louisiana",32.547618,-93.232335,89.0
"Dulac, Louisiana",29.400812,-90.693235,0.0
"Duson, Louisiana",30.23836,-92.18907,9.0
"East Hodge, Louisiana",32.277599,-92.713689,63.0
"Eastwood, Louisiana",32.560703,-93.56249,77.0
"Echo, Louisiana",31.108499,-92.240593,21.0
"Eden Isle, Louisiana",30.225247,-89.809246,0.0
"Edgard, Louisiana",30.03083,-90.544105,1.0
"Edgefield, Louisiana",32.050081,-93.335962,60.0
"Egan, Louisiana",30.245515,-92.511594,9.0
"Elizabeth, Louisiana",30.865729,-92.801824,60.0
"Elmwood, Louisiana",29.95397,-90.18741,5.0
"Elton, Louisiana",30.481253,-92.697609,16.0
"Empire, Louisiana",29.445183,-89.614383,1.0
"Epps, Louisiana",32.603824,-91.481412,32.0
"Erath, Louisiana",29.958787,-92.037424,4.0
"Eros, Louisiana",32.392558,-92.423933,65.0
"Erwinville, Louisiana",30.541007,-91.38848,7.0
"Estelle, Louisiana",29.84146,-90.094151,6.0
"Estherwood, Louisiana",30.181614,-92.463315,8.0
"Eunice, Louisiana",30.490429,-92.419064,16.0
"Evergreen, Louisiana",30.952759,-92.105168,23.0
"Farmerville, Louisiana",32.775105,-92.400519,54.0
"Fenton, Louisiana",30.364334,-92.916965,10.0
"Ferriday, Louisiana",31.63418,-91.556169,20.0
"Fifth Ward, Louisiana",31.120697,-92.158388,25.0
"Fisher, Louisiana",31.493273,-93.459738,118.0
"Florien, Louisiana",31.45748,-93.459199,91.0
"Folsom, Louisiana",30.632433,-90.196123,51.0
"Fordoche, Louisiana",30.594028,-91.617924,9.0
"Forest, Louisiana",32.792366,-91.412555,41.0
"Forest Hill, Louisiana",31.049909,-92.525253,55.0
"Fort Jesup, Louisiana",31.611391,-93.406195,107.0
"Fort Polk North, Louisiana",31.100417,-93.174531,119.0
"Fort Polk South, Louisiana",31.054209,-93.216714,105.0
"Franklin, Louisiana",29.784946,-91.509567,2.0
"Franklinton, Louisiana",30.848234,-90.145869,54.0
"French Settlement, Louisiana",30.331871,-90.814253,16.0
"Frierson, Louisiana",32.246949,-93.686859,56.0
