description,latitude,longitude,altitude
"Achille, Oklahoma",33.835346,-96.388752,208.0
"Ada, Oklahoma",34.767914,-96.669114,315.0
"Adair, Oklahoma",36.43641,-95.273445,209.0
"Adams, Oklahoma",36.754581,-101.075164,865.0
"Adamson, Oklahoma",34.924784,-95.547583,191.0
"Addington, Oklahoma",34.243091,-97.966102,288.0
"Afton, Oklahoma",36.696535,-94.957463,239.0
"Agra, Oklahoma",35.894937,-96.870195,314.0
"Akins, Oklahoma",35.503967,-94.666795,182.0
"Albany, Oklahoma",33.874518,-96.155242,169.0
"Albion, Oklahoma",34.662141,-95.099369,203.0
"Alderson, Oklahoma",34.900593,-95.689431,212.0
"Alex, Oklahoma",34.922801,-97.776329,314.0
"Aline, Oklahoma",36.50967,-98.448672,397.0
"Allen, Oklahoma",34.877628,-96.412889,265.0
"Altus, Oklahoma",34.657061,-99.309046,417.0
"Alva, Oklahoma",36.789566,-98.664877,450.0
"Amber, Oklahoma",35.160232,-97.882055,383.0
"Ames, Oklahoma",36.246962,-98.186139,370.0
"Amorita, Oklahoma",36.924012,-98.293621,369.0
"Anadarko, Oklahoma",35.065296,-98.244469,360.0
"Antlers, Oklahoma",34.233026,-95.622759,158.0
"Apache, Oklahoma",34.894169,-98.358726,393.0
"Arapaho, Oklahoma",35.577797,-98.959345,508.0
"Arcadia, Oklahoma",35.665487,-97.325515,295.0
"Ardmore, Oklahoma",34.196507,-97.131848,269.0
"Arkoma, Oklahoma",35.330247,-94.448332,126.0
"Armstrong, Oklahoma",34.052816,-96.34484,182.0
"Arnett, Oklahoma",36.134487,-99.772706,748.0
"Arpelar, Oklahoma",34.932848,-95.951695,234.0
"Asher, Oklahoma",34.988373,-96.925401,308.0
"Ashland, Oklahoma",34.765566,-96.070867,233.0
"Atoka, Oklahoma",34.386353,-96.131101,194.0
"Atwood, Oklahoma",34.955155,-96.336762,244.0
"Avant, Oklahoma",36.489631,-96.04626,207.0
"Avard, Oklahoma",36.697358,-98.789357,451.0
"Bache, Oklahoma",34.894269,-95.650526,229.0
"Badger Lee, Oklahoma",35.473733,-94.818981,181.0
"Baker, Oklahoma",36.870414,-101.017712,868.0
"Ballou, Oklahoma",36.142127,-95.199834,219.0
"Barber, Oklahoma",35.752135,-94.848449,281.0
"Barnsdall, Oklahoma",36.560938,-96.15577,222.0
"Baron, Oklahoma",35.935523,-94.602071,328.0
"Bartlesville, Oklahoma",36.737668,-95.948454,205.0
"Bearden, Oklahoma",35.364298,-96.388587,265.0
"Beaver, Oklahoma",36.815087,-100.523543,737.0
"Bee, Oklahoma",34.124588,-96.568773,211.0
"Beggs, Oklahoma",35.741386,-96.066464,222.0
"Belfonte, Oklahoma",35.542915,-94.551167,207.0
"Bell, Oklahoma",35.729723,-94.567897,325.0
"Bennington, Oklahoma",34.005396,-96.038388,191.0
"Bentley, Oklahoma",34.217411,-96.07971,177.0
"Bernice, Oklahoma",36.623395,-94.913481,237.0
"Bessie, Oklahoma",35.385419,-98.989178,472.0
"Bethany, Oklahoma",35.507174,-97.641734,400.0
"Bethel Acres, Oklahoma",35.311366,-97.045059,348.0
"Big Cabin, Oklahoma",36.537602,-95.229368,215.0
"Billings, Oklahoma",36.537595,-97.441749,312.0
"Binger, Oklahoma",35.310487,-98.343134,415.0
"Bison, Oklahoma",36.195948,-97.897913,370.0
"Bixby, Oklahoma",35.945571,-95.878343,186.0
"Blackburn, Oklahoma",36.373312,-96.596551,247.0
"Blackgum, Oklahoma",35.612046,-94.992135,278.0
"Blackwell, Oklahoma",36.801341,-97.300871,313.0
"Blair, Oklahoma",34.780193,-99.333436,448.0
"Blanchard, Oklahoma",35.152343,-97.665221,399.0
"Blanco, Oklahoma",34.750821,-95.773563,216.0
"Blue, Oklahoma",33.989938,-96.230368,176.0
"Bluejacket, Oklahoma",36.800427,-95.074033,237.0
"Boise City, Oklahoma",36.731336,-102.509522,1270.0
"Bokchito, Oklahoma",34.015434,-96.141577,192.0
"Bokoshe, Oklahoma",35.190371,-94.790406,164.0
"Boley, Oklahoma",35.489868,-96.479953,265.0
"Boswell, Oklahoma",34.027613,-95.869957,186.0
"Bowlegs, Oklahoma",35.147276,-96.669273,287.0
"Bowring, Oklahoma",36.878744,-96.11975,248.0
"Box, Oklahoma",35.570017,-94.972763,247.0
"Boynton, Oklahoma",35.649415,-95.6541,189.0
"Bradley, Oklahoma",34.877967,-97.708744,329.0
"Braggs, Oklahoma",35.663293,-95.198339,168.0
"Braman, Oklahoma",36.923644,-97.335815,321.0
"Bray, Oklahoma",34.60836,-97.817484,379.0
"Breckenridge, Oklahoma",36.457242,-97.725465,366.0
"Brent, Oklahoma",35.36622,-94.792473,157.0
"Briartown, Oklahoma",35.297323,-95.238611,168.0
"Bridge Creek, Oklahoma",35.233546,-97.734686,416.0
"Bridgeport, Oklahoma",35.547622,-98.377478,454.0
"Briggs, Oklahoma",35.921763,-94.878519,275.0
"Bristow, Oklahoma",35.833592,-96.394395,253.0
"Broken Arrow, Oklahoma",36.036529,-95.780996,221.0
"Broken Bow, Oklahoma",34.028862,-94.741357,144.0
"Bromide, Oklahoma",34.418295,-96.494761,214.0
"Brooksville, Oklahoma",35.209675,-96.961127,296.0
"Brush Creek, Oklahoma",36.416473,-94.783885,297.0
"Brushy, Oklahoma",35.561647,-94.747517,261.0
"Bryant, Oklahoma",35.392286,-96.062342,225.0
"Buffalo, Oklahoma",36.829412,-99.637673,559.0
"Bug Tussle, Oklahoma",35.033312,-95.675587,185.0
"Bull Hollow, Oklahoma",36.304625,-94.900832,330.0
"Bunch, Oklahoma",35.698852,-94.740242,328.0
"Burbank, Oklahoma",36.696085,-96.728112,299.0
"Burlington, Oklahoma",36.900213,-98.42341,372.0
"Burneyville, Oklahoma",33.890125,-97.292396,227.0
"Burns Flat, Oklahoma",35.354693,-99.175017,582.0
"Bushyhead, Oklahoma",36.461664,-95.505238,228.0
"Butler, Oklahoma",35.636448,-99.186377,539.0
"Butler, Oklahoma",36.538724,-94.74057,265.0
"Byars, Oklahoma",34.871969,-97.054224,313.0
"Byng, Oklahoma",34.865667,-96.66777,304.0
"Byron, Oklahoma",36.901382,-98.294423,364.0
"Cache, Oklahoma",34.627562,-98.619548,382.0
"Caddo, Oklahoma",34.125593,-96.263719,222.0
"Calera, Oklahoma",33.930829,-96.42906,213.0
"Calumet, Oklahoma",35.601385,-98.124786,422.0
"Calvin, Oklahoma",34.96638,-96.249887,230.0
"Camargo, Oklahoma",36.017902,-99.288454,592.0
"Cameron, Oklahoma",35.137476,-94.539288,153.0
"Canadian, Oklahoma",35.173963,-95.649404,219.0
"Canadian Shores, Oklahoma",35.172853,-95.742081,206.0
"Caney, Oklahoma",34.235764,-96.217168,182.0
"Caney, Oklahoma",35.829557,-94.840026,233.0
"Caney Ridge, Oklahoma",35.763926,-94.882761,222.0
"Canton, Oklahoma",36.055018,-98.588403,485.0
"Canute, Oklahoma",35.421969,-99.277927,575.0
"Capron, Oklahoma",36.896662,-98.577622,395.0
"Carlisle, Oklahoma",35.506877,-95.032222,184.0
"Carlton Landing, Oklahoma",35.211734,-95.557049,247.0
"Carmen, Oklahoma",36.579117,-98.457902,411.0
"Carnegie, Oklahoma",35.102742,-98.599587,407.0
"Carney, Oklahoma",35.805891,-97.015542,323.0
"Carrier, Oklahoma",36.478594,-98.0172,412.0
"Carter, Oklahoma",35.216948,-99.503576,558.0
"Cartwright, Oklahoma",33.85539,-96.556978,202.0
"Cashion, Oklahoma",35.800909,-97.675739,343.0
"Castle, Oklahoma",35.468109,-96.391552,288.0
"Catoosa, Oklahoma",36.180264,-95.77031,217.0
"Cave Spring, Oklahoma",35.728177,-94.75814,359.0
"Cayuga, Oklahoma",36.637389,-94.651732,247.0
"Cedar Crest, Oklahoma",36.123176,-95.173148,246.0
"Cedar Lake, Oklahoma",35.427,-98.193009,444.0
"Cedar Valley, Oklahoma",35.872919,-97.500499,311.0
"Cement, Oklahoma",34.936201,-98.136288,462.0
"Centrahoma, Oklahoma",34.610397,-96.343671,215.0
"Central High, Oklahoma",34.614327,-98.088648,356.0
"Chance, Oklahoma",36.067498,-94.646266,360.0
"Chandler, Oklahoma",35.712784,-96.836198,283.0
"Chattanooga, Oklahoma",34.42386,-98.654017,350.0
"Checotah, Oklahoma",35.482436,-95.522818,188.0
"Chelsea, Oklahoma",36.532037,-95.434568,220.0
"Cherokee, Oklahoma",36.750694,-98.357667,362.0
"Cherry Tree, Oklahoma",35.746465,-94.643925,325.0
"Chester, Oklahoma",36.215676,-98.921341,525.0
"Chewey, Oklahoma",36.112488,-94.725729,329.0
"Cheyenne, Oklahoma",35.61092,-99.676371,594.0
"Chickasha, Oklahoma",35.040543,-97.947173,341.0
"Choctaw, Oklahoma",35.484983,-97.269942,356.0
"Chouteau, Oklahoma",36.189507,-95.338902,188.0
"Christie, Oklahoma",35.97604,-94.646948,329.0
"Cimarron City, Oklahoma",35.888778,-97.603211,301.0
"Claremore, Oklahoma",36.315093,-95.609451,188.0
"Clarita, Oklahoma",34.480967,-96.439393,209.0
"Clarksville, Oklahoma",35.824076,-95.514082,172.0
"Clayton, Oklahoma",34.586129,-95.355746,191.0
"Clearview, Oklahoma",35.398249,-96.18696,240.0
"Cleo Springs, Oklahoma",36.404928,-98.440027,390.0
"Cleora, Oklahoma",36.595027,-94.942887,236.0
"Cleveland, Oklahoma",36.310908,-96.47218,242.0
"Clinton, Oklahoma",35.507101,-98.970503,480.0
"Cloud Creek, Oklahoma",36.293782,-94.754354,316.0
"Coalgate, Oklahoma",34.532271,-96.221205,189.0
"Colbert, Oklahoma",33.858359,-96.507632,204.0
"Colcord, Oklahoma",36.264707,-94.692344,351.0
"Cole, Oklahoma",35.098548,-97.562738,338.0
"Coleman, Oklahoma",34.264653,-96.420626,234.0
"Collinsville, Oklahoma",36.369263,-95.861756,211.0
"Colony, Oklahoma",35.348537,-98.671458,446.0
"Comanche, Oklahoma",34.362503,-97.979879,322.0
"Commerce, Oklahoma",36.934895,-94.861462,241.0
"Connerville, Oklahoma",34.442069,-96.629676,296.0
"Cookson, Oklahoma",35.721272,-94.915492,252.0
"Cooperton, Oklahoma",34.86651,-98.875869,466.0
"Copan, Oklahoma",36.900473,-95.925291,235.0
"Copeland, Oklahoma",36.663775,-94.827148,269.0
"Corn, Oklahoma",35.379052,-98.781704,483.0
"Cornish, Oklahoma",34.163583,-97.596391,267.0
"Cottonwood, Oklahoma",34.554699,-96.203235,181.0
"Council Hill, Oklahoma",35.555812,-95.65251,200.0
"Covington, Oklahoma",36.307474,-97.586358,350.0
