description,latitude,longitude,altitude
"Abbott, Texas",31.885139,-97.074106,218.0
"Abernathy, Texas",33.826811,-101.85205,1020.0
"Abilene, Texas",32.454514,-99.738147,525.0
"Abram, Texas",26.211634,-98.41185,37.0
"Acala, Texas",31.334406,-105.902786,1090.0
"Ackerly, Texas",32.525063,-101.715847,854.0
"Addison, Texas",32.963744,-96.833805,195.0
"Adrian, Texas",35.274119,-102.667247,1233.0
"Agua Dulce, Texas",31.654853,-106.136903,1227.0
"Agua Dulce, Texas",27.78273,-97.90985,40.0
"Aguilares, Texas",27.451627,-99.093233,178.0
"Airport Heights, Texas",26.408735,-98.836695,80.0
"Airport Road Addition, Texas",27.218988,-98.098093,32.0
"Alamo, Texas",26.180987,-98.11753,32.0
"Alamo Beach, Texas",28.572277,-96.564179,3.0
"Alamo Heights, Texas",29.482803,-98.468191,237.0
"Alanreed, Texas",35.211987,-100.732629,920.0
"Alba, Texas",32.786667,-95.632463,138.0
"Albany, Texas",32.727266,-99.295664,435.0
"Aldine, Texas",29.913438,-95.377431,23.0
"Aledo, Texas",32.698254,-97.608384,267.0
"Alfred, Texas",27.874076,-97.979863,44.0
"Alice, Texas",27.755616,-98.065812,63.0
"Alice Acres, Texas",27.711892,-98.107973,69.0
"Allen, Texas",33.109736,-96.673032,202.0
"Allison, Texas",35.61198,-100.111539,789.0
"Alma, Texas",32.276227,-96.543181,135.0
"Alpine, Texas",30.363905,-103.664456,1361.0
"Alto, Texas",31.650982,-95.070785,135.0
"Alto Bonito Heights, Texas",26.315777,-98.641329,69.0
"Alton, Texas",26.288775,-98.310581,50.0
"Alvarado, Texas",32.409379,-97.210786,233.0
"Alvin, Texas",29.424772,-95.224432,13.0
"Alvord, Texas",33.356968,-97.696026,268.0
"Amada Acres, Texas",26.343268,-98.739267,55.0
"Amargosa, Texas",27.892949,-98.108861,91.0
"Amarillo, Texas",35.198064,-101.833107,1118.0
"Amaya, Texas",28.713886,-99.835838,177.0
"Ames, Texas",30.045078,-94.737316,30.0
"Amherst, Texas",34.011982,-102.414776,1114.0
"Amistad, Texas",29.524493,-101.15305,361.0
"Anacua, Texas",26.385581,-98.919151,55.0
"Anahuac, Texas",29.765163,-94.678502,7.0
"Anderson, Texas",30.486755,-95.990321,99.0
"Andrews, Texas",32.321336,-102.551846,969.0
"Angleton, Texas",29.171774,-95.429311,13.0
"Angus, Texas",31.999468,-96.427686,128.0
"Anna, Texas",33.348167,-96.553452,213.0
"Annetta, Texas",32.701294,-97.66937,279.0
"Annetta North, Texas",32.712846,-97.642379,255.0
"Annetta South, Texas",32.672743,-97.616648,254.0
"Annona, Texas",33.581811,-94.913079,117.0
"Anson, Texas",32.754511,-99.896175,528.0
"Anthony, Texas",31.986731,-106.598634,1164.0
"Anton, Texas",33.810736,-102.16221,1034.0
"Appleby, Texas",31.717027,-94.60777,133.0
"Aquilla, Texas",31.853894,-97.21964,161.0
"Aransas Pass, Texas",27.914964,-97.103203,0.0
"Archer City, Texas",33.592689,-98.62683,327.0
"Arcola, Texas",29.503789,-95.469568,18.0
"Argyle, Texas",33.105493,-97.17752,212.0
"Arlington, Texas",32.700708,-97.124691,201.0
"Arp, Texas",32.226002,-95.052538,150.0
"Arroyo Colorado Estates, Texas",26.185638,-97.611826,10.0
"Arroyo Gardens, Texas",26.20145,-97.499704,5.0
"Asherton, Texas",28.446118,-99.760322,163.0
"Aspermont, Texas",33.140921,-100.224867,541.0
"Atascocita, Texas",29.977874,-95.194624,25.0
"Athens, Texas",32.202603,-95.830799,147.0
"Atlanta, Texas",33.113238,-94.16761,78.0
"Aubrey, Texas",33.30855,-96.979088,208.0
"Aurora, Texas",33.055942,-97.509615,229.0
"Austin, Texas",30.298622,-97.754134,190.0
"Austwell, Texas",28.391101,-96.843715,8.0
"Avery, Texas",33.551195,-94.780084,145.0
"Avinger, Texas",32.896894,-94.552742,125.0
"Azle, Texas",32.895547,-97.53923,219.0
"B and E, Texas",26.356531,-98.753675,69.0
"Bacliff, Texas",29.508637,-94.988677,7.0
"Bailey, Texas",33.433622,-96.165093,221.0
"Bailey's Prairie, Texas",29.147803,-95.499847,18.0
"Baird, Texas",32.396067,-99.395993,523.0
"Balch Springs, Texas",32.713904,-96.618062,143.0
"Balcones Heights, Texas",29.490225,-98.549138,262.0
"Ballinger, Texas",31.739146,-99.955413,503.0
"Balmorhea, Texas",30.982403,-103.744999,975.0
"Bandera, Texas",29.725126,-99.074261,385.0
"Bangs, Texas",31.71613,-99.13032,491.0
"Banquete, Texas",27.800017,-97.796112,25.0
"Bardwell, Texas",32.267076,-96.695539,145.0
"Barksdale, Texas",29.732902,-100.032828,467.0
"Barrera, Texas",26.392689,-98.898543,66.0
"Barrett, Texas",29.865415,-95.052461,13.0
"Barry, Texas",32.100437,-96.640532,153.0
"Barstow, Texas",31.461545,-103.395503,783.0
"Bartlett, Texas",30.794853,-97.432297,186.0
"Barton Creek, Texas",30.283246,-97.86956,255.0
"Bartonville, Texas",33.084683,-97.149176,213.0
"Bastrop, Texas",30.1111,-97.318152,115.0
"Batesville, Texas",28.952424,-99.629311,215.0
"Bay City, Texas",28.983543,-95.959872,17.0
"Bayou Vista, Texas",29.32557,-94.939208,1.0
"Bayside, Texas",28.096046,-97.210873,6.0
"Baytown, Texas",29.76478,-94.967457,7.0
"Bayview, Texas",26.133441,-97.397632,7.0
"Beach City, Texas",29.738882,-94.846504,11.0
"Bear Creek, Texas",30.182376,-97.940055,302.0
"Bear Creek Ranch, Texas",32.559471,-96.764278,172.0
"Beasley, Texas",29.494932,-95.915687,36.0
"Beaumont, Texas",30.084912,-94.14533,7.0
"Beauxart Gardens, Texas",29.959481,-94.035585,5.0
"Beaver Creek, Texas",30.452327,-96.560227,95.0
"Beckville, Texas",32.243602,-94.456087,105.0
"Bedford, Texas",32.845838,-97.135076,186.0
"Bedias, Texas",30.781636,-95.944581,94.0
"Bee Cave, Texas",30.307684,-97.962591,283.0
"Beeville, Texas",28.405244,-97.748931,68.0
"Bellaire, Texas",29.704019,-95.460905,21.0
"Bellevue, Texas",33.633508,-98.016347,313.0
"Bellmead, Texas",31.601451,-97.089037,139.0
"Bells, Texas",33.616488,-96.412736,207.0
"Bellville, Texas",29.946639,-96.258839,78.0
"Belterra, Texas",30.18853,-97.984517,338.0
"Belton, Texas",31.052345,-97.479542,190.0
"Ben Arnold, Texas",30.95124,-96.964306,113.0
"Ben Bolt, Texas",27.665863,-98.096641,60.0
"Ben Wheeler, Texas",32.446547,-95.701859,160.0
"Benavides, Texas",27.596867,-98.413776,116.0
"Benbrook, Texas",32.678284,-97.463601,217.0
"Benjamin, Texas",33.583606,-99.792932,450.0
"Benjamin Perez, Texas",26.406028,-98.899653,75.0
"Berryville, Texas",32.089249,-95.469807,121.0
"Bertram, Texas",30.74198,-98.062355,383.0
"Beverly Hills, Texas",31.522339,-97.156347,157.0
"Bevil Oaks, Texas",30.15071,-94.270948,19.0
"Big Lake, Texas",31.194112,-101.453406,818.0
"Big Sandy, Texas",32.58571,-95.112475,132.0
"Big Spring, Texas",32.238341,-101.485739,764.0
"Big Thicket Lake Estates, Texas",30.487663,-94.767645,50.0
"Big Wells, Texas",28.569882,-99.570178,159.0
"Bigfoot, Texas",29.062275,-98.853353,189.0
"Bishop, Texas",27.585254,-97.797403,19.0
"Bishop Hills, Texas",35.261439,-101.951908,1075.0
"Bivins, Texas",33.018945,-94.191982,94.0
"Bixby, Texas",26.144085,-97.85398,17.0
"Blackwell, Texas",32.085054,-100.319357,644.0
"Blanco, Texas",30.098594,-98.417106,402.0
"Blanket, Texas",31.824444,-98.789668,494.0
"Bledsoe, Texas",33.618148,-103.018155,1209.0
"Blessing, Texas",28.87488,-96.216762,12.0
"Bloomburg, Texas",33.137797,-94.059076,94.0
"Blooming Grove, Texas",32.092362,-96.717295,185.0
"Bloomington, Texas",28.650419,-96.902195,18.0
"Blossom, Texas",33.663272,-95.383725,161.0
"Blue Berry Hill, Texas",28.385506,-97.79208,85.0
"Blue Mound, Texas",32.854257,-97.338369,205.0
"Blue Ridge, Texas",33.298359,-96.3988,177.0
"Bluetown, Texas",26.069649,-97.818254,18.0
"Bluff Dale, Texas",32.349674,-98.024873,279.0
"Blum, Texas",32.141989,-97.397122,180.0
"Boerne, Texas",29.784938,-98.727949,441.0
"Bogata, Texas",33.469793,-95.21355,128.0
"Boling, Texas",29.253144,-95.944746,22.0
"Bolivar Peninsula, Texas",29.489778,-94.568501,0.0
"Bonanza Hills, Texas",27.794768,-99.469502,217.0
"Bonham, Texas",33.588022,-96.190095,188.0
"Bonney, Texas",29.301293,-95.450845,13.0
"Booker, Texas",36.456143,-100.540224,861.0
"Borger, Texas",35.659435,-101.40236,943.0
"Botines, Texas",27.771895,-99.45712,220.0
"Bovina, Texas",34.515657,-102.884656,1240.0
"Bowie, Texas",33.556959,-97.846101,345.0
"Box Canyon, Texas",29.533512,-101.15861,357.0
"Boyd, Texas",33.084347,-97.563208,206.0
"Boys Ranch, Texas",35.535154,-102.252608,986.0
"Brackettville, Texas",29.318201,-100.410503,348.0
"Brady, Texas",31.115378,-99.345935,535.0
"Brazoria, Texas",29.044715,-95.564665,9.0
"Brazos, Texas",32.662266,-98.123619,252.0
"Brazos Country, Texas",29.753095,-96.038012,33.0
"Breckenridge, Texas",32.756751,-98.912985,370.0
"Bremond, Texas",31.165709,-96.675975,140.0
"Brenham, Texas",30.15816,-96.395616,95.0
"Briar, Texas",33.019013,-97.575402,234.0
"Briarcliff, Texas",30.409279,-98.044528,229.0
"Briaroaks, Texas",32.495376,-97.30335,241.0
"Bridge City, Texas",30.0309,-93.838115,4.0
"Bridgeport, Texas",33.210449,-97.772466,236.0
"Briggs, Texas",30.889458,-97.921803,336.0
"Bristol, Texas",32.444786,-96.567673,141.0
"Broaddus, Texas",31.304974,-94.27004,76.0
"Bronte, Texas",31.886052,-100.295123,549.0
"Brookshire, Texas",29.782391,-95.951441,52.0
"Brookside Village, Texas",29.590842,-95.317967,14.0
"Brookston, Texas",33.62349,-95.700053,183.0
"Browndell, Texas",31.125373,-93.980137,77.0
"Brownfield, Texas",33.175514,-102.273429,1010.0
"Brownsboro, Texas",32.29842,-95.613042,124.0
"Brownsville, Texas",25.995689,-97.450848,3.0
"Brownwood, Texas",31.712856,-98.977053,410.0
"Bruceville-Eddy, Texas",31.308005,-97.257385,216.0
"Brundage, Texas",28.573965,-99.670131,163.0
"Bruni, Texas",27.428162,-98.832213,236.0
"Brushy Creek, Texas",30.51283,-97.739358,258.0
"Bryan, Texas",30.666016,-96.381049,107.0
"Bryson, Texas",33.165636,-98.388799,404.0
"Buchanan Dam, Texas",30.815674,-98.452687,325.0
"Buchanan Lake Village, Texas",30.8602,-98.434312,315.0
"Buckholts, Texas",30.873986,-97.128873,155.0
"Buda, Texas",30.080402,-97.8557,213.0
"Buena Vista, Texas",26.294139,-98.610884,61.0
"Buffalo, Texas",31.458905,-96.066163,119.0
"Buffalo Gap, Texas",32.283345,-99.834245,586.0
"Buffalo Springs Lake, Texas",33.53373,-101.697632,919.0
"Bullard, Texas",32.144166,-95.317515,151.0
"Bulverde, Texas",29.774485,-98.434959,391.0
"Buna, Texas",30.442708,-93.960657,31.0
"Bunker Hill Village, Texas",29.764761,-95.531742,32.0
"Burkburnett, Texas",34.074898,-98.567286,316.0
"Burke, Texas",31.235727,-94.764823,86.0
"Burleson, Texas",32.516453,-97.327374,247.0
"Burlington, Texas",31.004604,-96.991485,133.0
"Burnet, Texas",30.7506,-98.238227,411.0
"Burton, Texas",30.185803,-96.603124,135.0
"Bushland, Texas",35.202905,-102.059002,1166.0
"Butterfield, Texas",31.842626,-106.082195,1344.0
"Byers, Texas",34.069171,-98.190931,309.0
"Bynum, Texas",31.969071,-97.003078,201.0
"Cactus, Texas",36.044376,-102.00803,1102.0
"Caddo Mills, Texas",33.074543,-96.226924,164.0
"Cade Lakes, Texas",30.515054,-96.773377,125.0
"Caldwell, Texas",30.529807,-96.699724,122.0
"Callender Lake, Texas",32.363231,-95.69904,146.0
"Callisburg, Texas",33.698711,-97.015918,249.0
"Calvert, Texas",30.979149,-96.671542,106.0
"Camargito, Texas",26.345219,-98.738798,52.0
"Cameron, Texas",30.860768,-96.976198,127.0
"Cameron Park, Texas",25.97141,-97.478173,9.0
"Camp Swift, Texas",30.188147,-97.293207,139.0
"Camp Wood, Texas",29.669047,-100.010865,445.0
"Campbell, Texas",33.147584,-95.954893,181.0
"Campo Verde, Texas",26.391658,-98.913979,55.0
"Canadian, Texas",35.909678,-100.38388,743.0
"Caney City, Texas",32.209619,-96.038142,112.0
"Canton, Texas",32.554245,-95.863534,158.0
"Cantu Addition, Texas",27.201993,-98.155678,33.0
"Canutillo, Texas",31.918485,-106.601062,1148.0
"Canyon, Texas",34.990291,-101.918951,1070.0
"Canyon Creek, Texas",32.390978,-97.73938,242.0
"Canyon Lake, Texas",29.875778,-98.26118,294.0
"Cape Royale, Texas",30.653387,-95.130627,57.0
"Carbon, Texas",32.268405,-98.827196,489.0
"Carl's Corner, Texas",32.083891,-97.053229,250.0
"Carlsbad, Texas",31.611248,-100.640647,632.0
"Carlton, Texas",31.919666,-98.17143,407.0
"Carmine, Texas",30.148534,-96.690681,130.0
"Carrizo Hill, Texas",28.50502,-99.83114,191.0
"Carrizo Springs, Texas",28.525843,-99.859255,186.0
"Carrollton, Texas",32.989386,-96.89994,147.0
"Carter, Texas",32.917851,-97.739698,351.0
"Carthage, Texas",32.152046,-94.337111,92.0
"Casa Blanca, Texas",26.297641,-98.610251,66.0
"Casas, Texas",26.475341,-98.933253,114.0
"Cashion Community, Texas",34.036458,-98.508092,314.0
"Castle Hills, Texas",29.524727,-98.519054,263.0
"Castroville, Texas",29.359864,-98.854749,237.0
"Catarina, Texas",28.350178,-99.615258,161.0
"Cedar Creek, Texas",30.082341,-97.51112,128.0
"Cedar Hill, Texas",32.584326,-96.958898,250.0
"Cedar Park, Texas",30.510177,-97.818626,289.0
"Cedar Point, Texas",30.801268,-95.078745,42.0
"Celeste, Texas",33.289675,-96.19447,198.0
"Celina, Texas",33.32296,-96.798821,206.0
"Center, Texas",31.793092,-94.180287,115.0
"Center Point, Texas",29.93455,-99.047785,487.0
